Frequency,ADS,,Theory,,HFSS 
4440000000,122.4390506,,113.3916852,,117.4720372
4460000000,120.9212847,,111.8353819,,116.035189
4480000000,119.3952755,,110.27321,,114.5919596
4500000000,117.8614054,,108.7056263,,113.1425208
4520000000,116.3200803,,107.133104,,111.687058
4540000000,114.7717288,,105.556131,,110.22577
4560000000,113.2168011,,103.9752086,,108.7588688
4580000000,111.6557681,,102.3908492,,107.2865792
4600000000,110.0891196,,100.8035753,,105.8091383
4620000000,108.5173631,,99.21391703,,104.3267954
4640000000,106.9410225,,97.6224105,,102.8398109
4660000000,105.3606357,,96.02959567,,101.3484563
4680000000,103.7767531,,94.43601443,,99.85301308
4700000000,102.1899356,,92.84220847,,98.35377236
4720000000,100.6007524,,91.24871729,,96.85103385
4740000000,99.00977892,,89.65607614,,95.34510521
4760000000,97.41759466,,88.06481409,,93.8363011
4780000000,95.82478073,,86.47545201,,92.32494235
4800000000,94.23191778,,84.88850079,,90.81135494
4820000000,92.63958361,,83.30445949,,89.29586907
4840000000,91.04835101,,81.72381368,,87.77881812
4860000000,89.45878541,,80.14703388,,86.26053764
4880000000,87.87144317,,78.57457405,,84.74136433
4900000000,86.28686889,,77.00687033,,83.22163493
4920000000,84.70559392,,75.44433979,,81.70168522
4940000000,83.12813434,,73.8873794,,80.18184893
4960000000,81.55498931,,72.33636511,,78.66245674
4980000000,79.98663944,,70.79165109,,77.14383525
5000000000,78.4235454,,69.25356912,,75.62630597
5020000000,76.86614665,,67.72242809,,73.79925233
5040000000,75.31486029,,66.19851364,,72.28981057
5060000000,73.77008015,,64.68208803,,70.78286423
5080000000,72.23217598,,63.17338998,,69.27873164
5100000000,70.70149284,,61.67263475,,67.77772019
5120000000,69.17835066,,60.18001431,,66.28012554
5140000000,67.66304388,,58.69569758,,64.78623096
5160000000,66.15584135,,57.21983079,,63.29630673
5180000000,64.65698628,,55.75253793,,61.81060959
5200000000,63.16669637,,54.29392129,,60.32938226
5220000000,61.68516403,,52.84406199,,58.85285305
5240000000,60.21255677,,51.40302073,,57.38123553
5260000000,58.74901764,,49.97083838,,55.91472828
5280000000,57.29466575,,48.54753679,,54.45351468
5300000000,55.84959693,,47.13311953,,52.9977628
5320000000,54.41388443,,45.72757271,,51.54762532
5340000000,52.98757964,,44.33086576,,50.10323955
5360000000,51.57071294,,42.94295225,,48.66472746
5380000000,50.16329451,,41.56377077,,47.23219578
5400000000,48.76531521,,40.19324566,,45.80573619
5420000000,47.37674749,,38.83128793,,44.38542546
5440000000,45.99754627,,37.47779594,,42.97132574
5460000000,44.62764989,,36.13265631,,41.56348479
5480000000,43.26698087,,34.79574458,,40.16193629
5500000000,41.91544704,,33.46692602,,38.76670019
5520000000,40.57294226,,32.14605629,,37.37778305
5540000000,39.23934734,,30.83298219,,35.9951784
5560000000,37.91453086,,29.52754225,,34.61886714
5580000000,36.59834998,,28.22956742,,33.24881791
5600000000,35.29065124,,26.9388816,,31.88498754
5620000000,33.99127131,,25.65530227,,30.52732141
5640000000,32.70003771,,24.37864097,,29.17575389
5660000000,31.41676945,,23.10870379,,27.83020871
5680000000,30.14127774,,21.8452919,,26.49059942
5700000000,28.87336654,,20.58820189,,25.15682971
5720000000,27.61283314,,19.33722623,,23.82879386
5740000000,26.35946871,,18.09215363,,22.50637706
5760000000,25.11305876,,16.85276933,,21.18945581
5780000000,23.8733836,,15.61885547,,19.87789821
5800000000,22.64021877,,14.3901913,,18.57156435
5820000000,21.41333536,,13.16655347,,17.27030656
5840000000,20.19250042,,11.94771623,,15.97396974
5860000000,18.97747722,,10.73345163,,14.68239157
5880000000,17.7680255,,9.523529653,,13.39540281
5900000000,16.56390173,,8.317718401,,12.11282748
5920000000,15.36485932,,7.115784166,,10.83448308
5940000000,14.17064872,,5.917491537,,9.560180752
5960000000,12.98101761,,4.722603463,,8.289725401
5980000000,11.795711,,3.530881295,,7.022915856
6000000000,10.61447126,,2.342084805,,5.759544929
6020000000,9.437038166,,1.155972184,,4.499399492
6040000000,8.263148943,,-0.027699978,,3.24226051
6060000000,7.092538208,,-1.209176741,,1.987903041
6080000000,5.924937934,,-2.388704875,,0.736096216
6100000000,4.760077367,,-3.566532949,,-0.513396817
6120000000,3.597682922,,-4.742911434,,-1.760818987
6140000000,2.437478039,,-5.918092833,,-3.006419414
6160000000,1.279183024,,-7.092331826,,-4.250453573
6180000000,0.122514846,,-8.265885439,,-5.493183482
6200000000,-1.032813082,,-9.439013234,,-6.734877934
6220000000,-2.187091166,,-10.61197752,,-7.975812764
6240000000,-3.340613913,,-11.7850436,,-9.216271166
6260000000,-4.493680258,,-12.95848,,-10.45654404
6280000000,-5.646593917,,-14.13255879,,-11.69693041
6300000000,-6.799663777,,-15.30755587,,-12.93773784
6320000000,-7.953204326,,-16.4837513,,-14.17928297
6340000000,-9.107536121,,-17.66142969,,-15.42189208
6360000000,-10.2629863,,-18.84088058,,-16.66590167
