Frequency,ADS,,Theory,,HFSS
6140000000,-1.603376539,,-1.418960659,,-1.123250318
6160000000,-1.615964825,,-1.42660276,,-1.136096989
6180000000,-1.627626365,,-1.433369407,,-1.148282596
6200000000,-1.638349642,,-1.439255194,,-1.159789
6220000000,-1.64812387,,-1.444255419,,-1.170598753
6240000000,-1.656938965,,-1.448366081,,-1.180695083
6260000000,-1.664785528,,-1.451583858,,-1.190061877
6280000000,-1.671654822,,-1.453906104,,-1.198683672
6300000000,-1.677538758,,-1.455330837,,-1.206545643
6320000000,-1.682429876,,-1.455856736,,-1.213633595
6340000000,-1.686321339,,-1.455483136,,-1.219933952
6360000000,-1.689206918,,-1.454210025,,-1.225433757
6380000000,-1.691080987,,-1.452038051,,-1.230120671
6400000000,-1.691938525,,-1.448968521,,-1.233982968
6420000000,-1.691775107,,-1.445003412,,-1.237009546
6440000000,-1.690586917,,-1.44014538,,-1.239189933
6460000000,-1.688370752,,-1.434397773,,-1.240514304
6480000000,-1.685124035,,-1.427764653,,-1.240973494
6500000000,-1.680844835,,-1.420250813,,-1.240559026
6520000000,-1.67553189,,-1.411861808,,-1.239263146
6540000000,-1.669184635,,-1.402603987,,-1.237078857
6560000000,-1.661803243,,-1.392484527,,-1.233999969
6580000000,-1.653388667,,-1.381511482,,-1.230021161
6600000000,-1.643942695,,-1.369693833,,-1.225138048
6620000000,-1.633468016,,-1.357041546,,-1.21934727
6640000000,-1.621968292,,-1.343565642,,-1.212646588
6660000000,-1.609448253,,-1.329278277,,-1.205035008
6680000000,-1.595913793,,-1.314192831,,-1.196512919
6700000000,-1.581372102,,-1.298324015,,-1.187082263
6720000000,-1.565831798,,-1.281687989,,-1.176746726
6740000000,-1.549303097,,-1.264302499,,-1.16551197
6760000000,-1.531798005,,-1.246187037,,-1.153385907
6780000000,-1.513330536,,-1.227363018,,-1.140379009
6800000000,-1.493916973,,-1.207853993,,-1.126504688
6820000000,-1.473576167,,-1.187685885,,-1.11177973
6840000000,-1.452329886,,-1.166887265,,-1.096224813
6860000000,-1.43020322,,-1.14548967,,-1.079865112
6880000000,-1.407225055,,-1.12352797,,-1.062731016
6900000000,-1.383428619,,-1.101040794,,-1.04485897
6920000000,-1.358852132,,-1.078071019,,-1.026292473
6940000000,-1.333539551,,-1.054666347,,-1.007083255
6960000000,-1.307541456,,-1.030879967,,-0.987292674
6980000000,-1.280916079,,-1.006771331,,-0.966993374
7000000000,-1.25373052,,-0.982407064,,-0.946271251
7020000000,-1.226062176,,-0.957862025,,-0.925227801
7040000000,-1.198000425,,-0.933220557,,-0.90398291
7060000000,-1.169648616,,-0.908577957,,-0.882678196
7080000000,-1.141126428,,-0.884042209,,-0.861480998
7100000000,-1.112572664,,-0.859736035,,-0.840589166
