Frequency,Measurement,,Frequency,HFSS
,GD (ns),,,GD (ns)
6.475,0.033455603,,6.475,0.176091526
6.5,0.255718578,,6.5,0.176899884
6.525,0.025539106,,6.525,0.177815401
6.55,0.222901736,,6.55,0.178844395
6.575,0.125921276,,6.575,0.179993859
6.6,0.094345396,,6.6,0.181271544
6.625,0.182739614,,6.625,0.182686059
6.65,0.122376895,,6.65,0.184246978
6.675,0.158208492,,6.675,0.185964971
6.7,0.16569676,,6.7,0.187851944
6.725,0.215277813,,6.725,0.189921209
6.75,0.048492116,,6.75,0.192187671
6.775,0.340167649,,6.775,0.194668051
6.8,0.024338867,,6.8,0.19738113
6.825,0.266460654,,6.825,0.200348046
6.85,0.183098572,,6.85,0.203592617
6.875,0.097471397,,6.875,0.207141731
6.9,0.333558338,,6.9,0.211025776
6.925,0.094912229,,6.925,0.215279143
6.95,0.304408184,,6.95,0.219940794
6.975,0.191155192,,6.975,0.225054912
7,0.292871816,,7,0.230671619
7.025,0.191567597,,7.025,0.23684779
7.05,0.335394123,,7.05,0.243647925
7.075,0.218099382,,7.075,0.251145085
7.1,0.338098183,,7.1,0.259421846
7.125,0.354372299,,7.125,0.268571202
7.15,0.267049983,,7.15,0.27869731
7.175,0.456167019,,7.175,0.289915895
7.2,0.297200096,,7.2,0.302354029
7.225,0.456819105,,7.225,0.316148853
7.25,0.399695768,,7.25,0.331444585
7.275,0.454059988,,7.275,0.348386875
7.3,0.489371088,,7.3,0.367113154
7.325,0.431041728,,7.325,0.387737164
7.35,0.580210863,,7.35,0.410325321
7.375,0.385873604,,7.375,0.43486215
7.4,0.637243587,,7.4,0.461201991
7.425,0.430754744,,7.425,0.489005054
7.45,0.518347474,,7.45,0.517658244
7.475,0.567479841,,7.475,0.546185661
7.5,0.319685838,,7.5,0.573159768
7.525,0.609453456,,7.525,0.596628981
7.55,0.222853815,,7.55,0.614073244
7.575,0.570861866,,7.575,0.622371617
7.6,0.228130754,,7.6,0.61769228
7.625,0.563192752,,7.625,0.595053806
7.65,0.16602797,,7.65,0.546938901
7.675,0.405202501,,7.675,0.459319268
7.7,0.115866716,,7.7,0.299864328
7.725,0.031503269,,7.725,-0.022157684
7.75,0.139161308,,7.75,-0.813954253
7.775,-0.361275737,,7.775,-2.828192752
7.8,-0.348237697,,7.8,-4.357025693
7.825,-1.473191071,,7.825,-3.008695125
7.85,-2.150755052,,7.85,-1.000559129
7.875,-3.095062202,,7.875,-0.228805823
7.9,-2.260488531,,7.9,0.053741357
7.925,-1.877977006,,7.925,0.174973798
7.95,-0.613903968,,7.95,0.232136305
7.975,-0.385944548,,7.975,0.259901531
8,-0.294118193,,8,0.272843195
8.025,0.355111635,,8.025,0.277858521
8.05,-0.312643363,,8.05,0.278499746
8.075,0.452894576,,8.075,0.27671018
8.1,-0.095783821,,8.1,0.273599102
8.125,0.275428842,,8.125,0.269817986
8.15,0.151655366,,8.15,0.265755726
8.175,0.300390763,,8.175,0.261645473
8.2,0.153449553,,8.2,0.257625657
8.225,0.319854359,,8.225,0.253776051
8.25,0.252781057,,8.25,0.250139691
8.275,0.111731023,,8.275,0.246736497
8.3,0.546005571,,8.3,0.243571881
8.325,-0.038327505,,8.325,0.240642261
8.35,0.601772032,,8.35,0.237938622
8.375,0.120557967,,8.375,0.235448833
8.4,0.398747677,,8.4,0.23315915
8.425,0.34253663,,8.425,0.231055191
8.45,0.299296037,,8.45,0.229122554
8.475,0.35090108,,8.475,0.227347212
8.5,0.35166654,,8.5,0.225715744
8.525,0.381521,,8.525,0.22421547
8.55,0.293666421,,8.55,0.222834517
8.575,0.506098427,,8.575,0.221561833
8.6,0.213153954,,8.6,0.220387187
8.625,0.50854443,,8.625,0.219301138
8.65,0.29187227,,8.65,0.218295
8.675,0.359477069,,8.675,0.217360801
8.7,0.403995136,,8.7,0.216491237
8.725,0.273326496,,8.725,0.21567963
8.75,0.400772038,,8.75,0.214919881
8.775,0.283411106,,8.775,0.214206431
8.8,0.345886328,,8.8,0.213534222
8.825,0.296578319,,8.825,0.212898655
8.85,0.299419175,,8.85,0.212295561
8.875,0.308162256,,8.875,0.211721167
8.9,0.238893973,,8.9,0.211172062
8.925,0.329285494,,8.925,0.210645177
8.95,0.196138019,,8.95,0.210137752
8.975,0.310712746,,8.975,0.209647318
9,0.202917445,,9,0.209171669
