fre,l6=16mm,l6=17mm,l6=18mm,,l6=16mm,l6=17mm,l6=18mm,,,l6=16mm,l6=17mm,l6=18mm
Frequency,GD,GD,GD,,GD(ns),GD(ns),GD(ns),,Frequency,Angle,Angle,Angle
2.52,2.18E-10,4.84E-10,1.23E-09,,0.218293116,0.484222539,1.228293643,,2.52,-155.6316494,-170.7676494,-224.2610752
2.54,2.28E-10,5.47E-10,9.18E-10,,0.227607863,0.546835698,0.918000204,,2.54,-157.234634,-174.4568691,-232.579381
2.56,2.38E-10,6.23E-10,-2.60E-10,,0.23829726,0.623181752,-0.259992686,,2.56,-158.9092027,-178.6420835,-237.4802782
2.58,2.51E-10,7.15E-10,-6.27E-09,,0.250629028,0.715246353,-6.265794498,,2.58,-160.6661145,-183.4306863,-228.8354863
2.6,2.65E-10,8.23E-10,-7.78E-09,,0.264935438,0.823318424,-7.780892295,,2.6,-162.5182607,-188.941631,-147.2528374
2.62,2.82E-10,9.43E-10,-2.26E-09,,0.281630883,0.943136956,-2.255965988,,2.62,-164.4811848,-195.2864716,-116.7906373
2.64,3.01E-10,1.06E-09,-5.71E-12,,0.301234103,1.060531974,-0.005711907,,2.64,-166.5737454,-202.5228031,-114.7669272
2.66,3.24E-10,1.14E-09,3.29E-10,,0.324395625,1.142160937,0.328544348,,2.66,-168.8189559,-210.558132,-116.7083858
2.68,3.52E-10,1.12E-09,3.95E-10,,0.351929975,1.115629708,0.395459446,,2.68,-171.2450424,-218.9699206,-119.4979658
2.7,3.85E-10,7.78E-10,3.97E-10,,0.384849528,0.778468574,0.396511594,,2.7,-173.8867475,-226.6231998,-122.4030018
2.72,4.24E-10,-1.13E-09,3.78E-10,,0.424390224,-1.126749373,0.378305057,,2.72,-176.7868756,-230.1798681,-125.2077328
2.74,4.72E-10,-7.12E-09,3.55E-10,,0.472003864,-7.116884771,0.355234509,,2.74,-179.9979668,-210.3980089,-127.8505947
2.76,5.29E-10,-6.71E-09,3.32E-10,,0.529256567,-6.709010315,0.332294327,,2.76,-183.5837312,-127.6967274,-130.3231097
2.78,5.97E-10,-8.92E-10,3.11E-10,,0.597494709,-0.892250814,0.311204667,,2.78,-187.6192613,-113.7882603,-132.635633
2.8,6.77E-10,3.12E-10,2.92E-10,,0.676966688,0.312337857,0.292438102,,2.8,-192.187655,-114.8483157,-134.8044569
2.82,7.65E-10,5.02E-10,2.76E-10,,0.764698129,0.502476476,0.275979761,,2.82,-197.3675816,-118.2859255,-136.8467416
2.84,8.49E-10,5.18E-10,2.62E-10,,0.849430377,0.517852845,0.261634323,,2.84,-203.1993081,-122.0839769,-138.7785655
2.86,8.99E-10,4.90E-10,2.49E-10,,0.898561704,0.489654745,0.249154322,,2.86,-209.5993791,-125.7430064,-140.6142759
2.88,8.14E-10,4.52E-10,2.38E-10,,0.813884036,0.451563431,0.238293427,,2.88,-216.1385966,-129.1350053,-142.3663877
