Frequency,Mag,,Frequency,Angle
13.34,-4.883218664,,13.34,-41.33523136
13.36,-4.589483057,,13.36,-43.89931238
13.38,-4.338248507,,13.38,-46.41084515
13.4,-4.122392278,,13.4,-48.86373952
13.42,-3.936186674,,13.42,-51.25587511
13.44,-3.77499807,,13.44,-53.58757791
13.46,-3.635055509,,13.46,-55.86064053
13.48,-3.513272038,,13.48,-58.07769006
13.5,-3.4071061,,13.5,-60.24178107
13.52,-3.314453448,,13.52,-62.35613536
13.54,-3.233562399,,13.54,-64.42397818
13.56,-3.162967038,,13.56,-66.44843768
13.58,-3.101434281,,13.58,-68.43248619
13.6,-3.047921703,,13.6,-70.37890872
13.62,-3.001543751,,13.62,-72.29028923
13.64,-2.961544551,,13.64,-74.16900826
13.66,-2.9272759,,13.66,-76.01724768
13.68,-2.89817937,,13.68,-77.83699965
13.7,-2.873771691,,13.7,-79.63007799
13.72,-2.853632746,,13.72,-81.39813066
13.74,-2.837395682,,13.74,-83.14265258
13.76,-2.824738715,,13.76,-84.86499829
13.78,-2.815378319,,13.78,-86.56639405
13.8,-2.809063547,,13.8,-88.24794936
13.82,-2.805571265,,13.82,-89.91066766
13.84,-2.804702151,,13.84,-91.55545627
13.86,-2.806277318,,13.86,-93.18313551
13.88,-2.81013546,,13.88,-94.79444709
13.9,-2.816130425,,13.9,-96.39006175
13.92,-2.824129159,,13.92,-97.97058627
13.94,-2.834009939,,13.94,-99.53656979
13.96,-2.845660879,,13.96,-101.0885096
13.98,-2.858978636,,13.98,-102.6268564
14,-2.873867309,,14,-104.1520191
14.02,-2.89023749,,14.02,-105.6643691
14.04,-2.908005447,,14.04,-107.1642443
14.06,-2.927092419,,14.06,-108.6519526
14.08,-2.947424016,,14.08,-110.1277751
14.1,-2.96892969,,14.1,-111.5919694
14.12,-2.991542287,,14.12,-113.0447716
14.14,-3.01519766,,14.14,-114.4863995
14.16,-3.039834329,,14.16,-115.9170543
14.18,-3.0653932,,14.18,-117.3369226
14.2,-3.091817305,,14.2,-118.7461786
14.22,-3.119051598,,14.22,-120.1449852
14.24,-3.147042766,,14.24,-121.5334961
14.26,-3.175739072,,14.26,-122.9118565
14.28,-3.205090217,,14.28,-124.2802048
14.3,-3.235047229,,14.3,-125.6386734
14.32,-3.265562361,,14.32,-126.9873898
14.34,-3.296589009,,14.34,-128.3264775
14.36,-3.328081637,,14.36,-129.6560568
14.38,-3.359995722,,14.38,-130.9762453
14.4,-3.392287696,,14.4,-132.2871588
14.42,-3.424914909,,14.42,-133.5889117
14.44,-3.457835591,,14.44,-134.8816177
14.46,-3.491008821,,14.46,-136.1653897
14.48,-3.5243945,,14.48,-137.440341
14.5,-3.557953335,,14.5,-138.7065848
14.52,-3.591646816,,14.52,-139.9642351
14.54,-3.625437204,,14.54,-141.2134067
14.56,-3.659287516,,14.56,-142.4542154
14.58,-3.693161518,,14.58,-143.6867783
14.6,-3.727023713,,14.6,-144.9112138
14.62,-3.760839335,,14.62,-146.1276419
14.64,-3.794574341,,14.64,-147.336184
14.66,-3.828195405,,14.66,-148.5369636
14.68,-3.861669911,,14.68,-149.7301055
14.7,-3.894965948,,14.7,-150.9157368
14.72,-3.928052309,,14.72,-152.0939859
14.74,-3.960898477,,14.74,-153.2649836
14.76,-3.993474628,,14.76,-154.4288623
14.78,-4.025751618,,14.78,-155.5857563
14.8,-4.057700986,,14.8,-156.7358018
14.82,-4.089294939,,14.82,-157.8791371
14.84,-4.120506353,,14.84,-159.0159021
14.86,-4.151308762,,14.86,-160.1462387
14.88,-4.181676355,,14.88,-161.2702906
14.9,-4.211583965,,14.9,-162.3882033
14.92,-4.241007067,,14.92,-163.5001241
14.94,-4.269921766,,14.94,-164.606202
14.96,-4.298304793,,14.96,-165.706588
14.98,-4.326133497,,14.98,-166.8014346
15,-4.353385834,,15,-167.890896
15,-4.3648818,,15,-167.2526239
15.02,-4.394385208,,15.02,-168.370011
15.04,-4.423327464,,15.04,-169.4790775
15.06,-4.451672374,,15.06,-170.5801112
15.08,-4.479385705,,15.08,-171.6733988
15.1,-4.506435096,,15.1,-172.7592258
15.12,-4.532789963,,15.12,-173.8378759
15.14,-4.558421409,,15.14,-174.9096312
15.16,-4.583302144,,15.16,-175.9747714
15.18,-4.607406393,,15.18,-177.0335741
15.2,-4.630709824,,15.2,-178.0863144
15.22,-4.653189463,,15.22,-179.1332649
15.24,-4.674823627,,15.24,179.8253046
15.26,-4.695591846,,15.26,178.7891265
15.28,-4.715474801,,15.28,177.7579365
15.3,-4.734454257,,15.3,176.7314725
15.32,-4.752513003,,15.32,175.7094753
15.34,-4.769634793,,15.34,174.6916883
15.36,-4.78580429,,15.36,173.6778575
15.38,-4.801007018,,15.38,172.6677314
15.4,-4.81522931,,15.4,171.6610607
15.42,-4.828458264,,15.42,170.6575988
15.44,-4.840681699,,15.44,169.657101
15.46,-4.851888117,,15.46,168.6593248
15.48,-4.862066666,,15.48,167.6640295
15.5,-4.871207101,,15.5,166.6709764
15.52,-4.879299762,,15.52,165.6799284
15.54,-4.886335536,,15.54,164.6906496
15.56,-4.892305836,,15.56,163.7029058
15.58,-4.897202577,,15.58,162.7164637
15.6,-4.901018153,,15.6,161.7310911
15.62,-4.90374542,,15.62,160.7465565
15.64,-4.90537768,,15.64,159.762629
15.66,-4.905908669,,15.66,158.7790781
15.68,-4.90533254,,15.68,157.7956736
15.7,-4.903643863,,15.7,156.8121853
15.72,-4.900837612,,15.72,155.8283826
15.74,-4.896909163,,15.74,154.8440347
15.76,-4.891854294,,15.76,153.8589103
15.78,-4.885669185,,15.78,152.8727772
15.8,-4.878350421,,15.8,151.885402
15.82,-4.869894998,,15.82,150.8965504
15.84,-4.860300332,,15.84,149.9059865
15.86,-4.849564272,,15.86,148.9134729
15.88,-4.837685108,,15.88,147.9187701
15.9,-4.824661592,,15.9,146.921637
15.92,-4.810492958,,15.92,145.9218297
15.94,-4.795178937,,15.94,144.9191024
15.96,-4.778719791,,15.96,143.9132061
15.98,-4.76111633,,15.98,142.9038895
16,-4.742369952,,16,141.8908979
16.02,-4.722482671,,16.02,140.8739735
16.04,-4.701457154,,16.04,139.8528549
16.06,-4.679296766,,16.06,138.8272774
16.08,-4.656005604,,16.08,137.7969723
16.1,-4.631588555,,16.1,136.7616672
16.12,-4.606051336,,16.12,135.7210855
16.14,-4.579400556,,16.14,134.6749463
16.16,-4.551643769,,16.16,133.6229646
16.18,-4.522789539,,16.18,132.5648508
16.2,-4.4928475,,16.2,131.5003109
16.22,-4.461828433,,16.22,130.4290462
16.24,-4.429744335,,16.24,129.3507535
16.26,-4.396608496,,16.26,128.2651249
16.28,-4.362435584,,16.28,127.1718476
16.3,-4.327241729,,16.3,126.0706045
16.32,-4.291044612,,16.32,124.9610738
16.34,-4.253863562,,16.34,123.8429294
16.36,-4.215719653,,16.36,122.7158405
16.38,-4.176635804,,16.38,121.5794727
16.4,-4.136636888,,16.4,120.4334873
16.42,-4.095749838,,16.42,119.2775424
16.44,-4.054003759,,16.44,118.1112925
16.46,-4.011430046,,16.46,116.9343895
16.48,-3.968062498,,16.48,115.7464829
16.5,-3.923937436,,16.5,114.5472205
16.52,-3.879093824,,16.52,113.3362489
16.54,-3.833573388,,16.54,112.1132143
16.56,-3.787420736,,16.56,110.8777633
16.58,-3.740683471,,16.58,109.6295438
16.6,-3.693412307,,16.6,108.3682059
16.62,-3.64566118,,16.62,107.0934032
16.64,-3.597487345,,16.64,105.8047942
16.66,-3.548951475,,16.66,104.5020428
16.68,-3.500117746,,16.68,103.1848209
16.7,-3.451053907,,16.7,101.852809
16.72,-3.401831339,,16.72,100.5056986
16.74,-3.3525251,,16.74,99.14319354
16.76,-3.303213939,,16.76,97.76501204
16.78,-3.2539803,,16.78,96.3708889
16.8,-3.204910293,,16.8,94.96057752
16.82,-3.156093639,,16.82,93.53385215
16.84,-3.107623579,,16.84,92.09051025
16.86,-3.059596752,,16.86,90.63037485
16.88,-3.012113028,,16.88,89.15329703
16.9,-2.965275307,,16.9,87.65915838
16.92,-2.919189265,,16.92,86.14787348
16.94,-2.873963052,,16.94,84.61939234
16.96,-2.829706949,,16.96,83.0737028
16.98,-2.786532956,,16.98,81.51083278
17,-2.744554342,,17,79.93085244
17.02,-2.703885126,,17.02,78.33387608
17.04,-2.664639513,,17.04,76.72006386
17.06,-2.626931269,,17.06,75.0896232
17.08,-2.59087305,,17.08,73.44280979
17.1,-2.556575669,,17.1,71.77992824
17.12,-2.524147335,,17.12,70.10133225
17.14,-2.493692837,,17.14,68.40742426
17.16,-2.465312701,,17.16,66.6986545
17.18,-2.439102319,,17.18,64.97551946
17.2,-2.415151062,,17.2,63.23855967
17.22,-2.393541385,,17.22,61.48835675
17.24,-2.37434793,,17.24,59.72552978
17.26,-2.357636654,,17.26,57.95073082
17.28,-2.343463968,,17.28,56.16463972
17.3,-2.331875921,,17.3,54.36795812
17.32,-2.322907435,,17.32,52.56140263
17.34,-2.316581588,,17.34,50.7456973
17.36,-2.312908974,,17.36,48.92156523
17.38,-2.311887132,,17.38,47.0897195
17.4,-2.313500072,,17.4,45.25085336
17.42,-2.317717872,,17.42,43.40562966
17.44,-2.324496383,,17.44,41.55466964
17.46,-2.333777021,,17.46,39.69854095
17.48,-2.345486658,,17.48,37.837745
17.5,-2.359537602,,17.5,35.97270353
17.52,-2.37582767,,17.52,34.10374436
17.54,-2.394240346,,17.54,32.23108619
17.56,-2.414645019,,17.56,30.35482239
17.58,-2.436897306,,17.58,28.47490338
17.6,-2.460839436,,17.6,26.5911176
17.62,-2.486300728,,17.62,24.70307049
17.64,-2.51309813,,17.64,22.81016111
17.66,-2.541036866,,17.66,20.91155586
17.68,-2.569911189,,17.68,19.00615852
17.7,-2.599505283,,17.7,17.0925758
17.72,-2.629594375,,17.72,15.16907711
17.74,-2.659946134,,17.74,13.23354743
17.76,-2.690322478,,17.76,11.2834313
17.78,-2.720481975,,17.78,9.315665862
17.8,-2.750183086,,17.8,7.326600398
17.82,-2.779188614,,17.82,5.31189883
17.84,-2.807271886,,17.84,3.266421197
17.86,-2.834225417,,17.86,1.184078898
17.88,-2.859873126,,17.88,-0.942342595
17.9,-2.884087667,,17.9,-3.121401247
17.92,-2.906815123,,17.92,-5.363265387
17.94,-2.928110337,,17.94,-7.680040612
17.96,-2.948187653,,17.96,-10.08616808
17.98,-2.967494066,,17.98,-12.5989049
18,-2.986814947,,18,-15.23889321
18.02,-3.007427178,,18.02,-18.0308131
18.04,-3.031320949,,18.04,-21.00408926
18.06,-3.061520114,,18.06,-24.1935691
18.08,-3.102541329,,18.08,-27.63999016
18.1,-3.161041938,,18.1,-31.38987207
18.12,-3.246708493,,18.12,-35.49415595
18.14,-3.373414858,,18.14,-40.00442725
18.16,-3.560597777,,18.16,-44.96491433
18.18,-3.834608448,,18.18,-50.39789423
18.2,-4.229464952,,18.2,-56.28037021
18.22,-4.786033123,,18.22,-62.512191
18.24,-5.548562767,,18.24,-68.88103709
18.26,-6.558288939,,18.26,-75.03543414
18.28,-7.845480117,,18.28,-80.4749187
18.3,-9.421993645,,18.3,-84.54901007
18.32,-11.27257321,,18.32,-86.43380126
18.34,-13.33230112,,18.34,-85.06866303
18.36,-15.42358866,,18.36,-79.18841467
18.38,-17.156062,,18.38,-68.05132624
18.4,-18.01194291,,18.4,-53.40576561
18.42,-17.86450886,,18.42,-39.65957042
18.44,-17.13227006,,18.44,-29.74062325
18.46,-16.24664556,,18.46,-23.56785141
18.48,-15.41188853,,18.48,-20.02216331
18.5,-14.68781564,,18.5,-18.14376676
18.52,-14.07785143,,18.52,-17.30554198
18.54,-13.56850684,,18.54,-17.12265453
18.56,-13.14341054,,18.56,-17.35937502
18.58,-12.78764278,,18.58,-17.86879225
18.6,-12.4887233,,18.6,-18.55730401
18.62,-12.23652991,,18.62,-19.36396163
18.64,-12.02293355,,18.64,-20.24829361
18.66,-11.84140955,,18.66,-21.18296983
18.68,-11.68670104,,18.68,-22.14927598
18.7,-11.55454764,,18.7,-23.13425636
18.72,-11.44147303,,18.72,-24.12887055
18.74,-11.34462051,,18.74,-25.12678047
18.76,-11.2616258,,18.76,-26.12353781
18.78,-11.19051868,,18.78,-27.11603078
18.8,-11.12964635,,18.8,-28.10210205
18.82,-11.07761354,,18.82,-29.08028122
18.84,-11.0332353,,18.84,-30.04959559
18.86,-10.9954996,,18.86,-31.0094346
18.88,-10.96353743,,18.88,-31.95945209
18.9,-10.93659886,,18.9,-32.89949511
18.92,-10.91403358,,18.92,-33.82955166
18.94,-10.89527515,,18.94,-34.74971228
18.96,-10.87982808,,18.96,-35.66014145
18.98,-10.86725715,,18.98,-36.56105641
19,-10.85717866,,19,-37.45271126
19.02,-10.84925306,,19.02,-38.33538512
19.04,-10.84317885,,19.04,-39.2093733
19.06,-10.83868739,,19.06,-40.07498064
19.08,-10.8355386,,19.08,-40.93251659
19.1,-10.83351725,,19.1,-41.78229156
19.12,-10.83242982,,19.12,-42.62461422
19.14,-10.83210183,,19.14,-43.45978958
19.16,-10.83237552,,19.16,-44.28811761
19.18,-10.83310787,,19.18,-45.10989226
19.2,-10.83416891,,19.2,-45.92540084
19.22,-10.83544021,,19.22,-46.73492366
19.24,-10.83681358,,19.24,-47.53873385
19.26,-10.83818998,,19.26,-48.33709727
19.28,-10.83947847,,19.28,-49.13027262
19.3,-10.84059542,,19.3,-49.91851157
19.32,-10.84146367,,19.32,-50.70205894
19.34,-10.8420119,,19.34,-51.48115299
19.36,-10.84217403,,19.36,-52.25602566
19.38,-10.84188868,,19.38,-53.02690288
19.4,-10.8410987,,19.4,-53.79400489
19.42,-10.83975075,,19.42,-54.55754657
19.44,-10.83779492,,19.44,-55.31773771
19.46,-10.83518441,,19.46,-56.07478344
19.48,-10.83187521,,19.48,-56.82888444
19.5,-10.82782584,,19.5,-57.58023734
19.52,-10.82299708,,19.52,-58.32903503
19.54,-10.81735179,,19.54,-59.07546694
19.56,-10.81085468,,19.56,-59.8197194
19.58,-10.80347213,,19.58,-60.5619759
19.6,-10.79517202,,19.6,-61.30241742
19.62,-10.78592361,,19.62,-62.04122274
19.64,-10.77569736,,19.64,-62.7785687
19.66,-10.76446483,,19.66,-63.51463051
19.68,-10.75219855,,19.68,-64.24958204
19.7,-10.73887195,,19.7,-64.98359612
19.72,-10.72445918,,19.72,-65.71684477
19.74,-10.70893514,,19.74,-66.44949956
19.76,-10.69227526,,19.76,-67.18173185
19.78,-10.67445556,,19.78,-67.91371307
19.8,-10.65545247,,19.8,-68.64561505
19.82,-10.63524281,,19.82,-69.37761024
19.84,-10.61380374,,19.84,-70.10987209
19.86,-10.59111267,,19.86,-70.84257526
19.88,-10.56714724,,19.88,-71.57589599
19.9,-10.54188524,,19.9,-72.31001239
19.92,-10.51530458,,19.92,-73.04510473
19.94,-10.48738325,,19.94,-73.78135579
19.96,-10.45809926,,19.96,-74.5189512
19.98,-10.42743063,,19.98,-75.25807977
20,-10.39535532,,20,-75.99893384
