Frequency,Mag,,Frequency,Angle
10.88,-0.674673395,,10.88,78.64667342
10.9,-0.683583958,,10.9,77.28395326
10.92,-0.692714811,,10.92,75.92197206
10.94,-0.702062943,,10.94,74.56073386
10.96,-0.711625076,,10.96,73.20024216
10.98,-0.721397671,,10.98,71.84049976
11,-0.73137692,,11,70.48150861
11.02,-0.741558754,,11.02,69.12326957
11.04,-0.751938839,,11.04,67.76578233
11.06,-0.762512582,,11.06,66.40904515
11.08,-0.773275133,,11.08,65.05305474
11.1,-0.784221394,,11.1,63.69780606
11.12,-0.795346021,,11.12,62.34329214
11.14,-0.806643437,,11.14,60.9895039
11.16,-0.818107836,,11.16,59.63642998
11.18,-0.829733193,,11.18,58.28405656
11.2,-0.841513281,,11.2,56.93236715
11.22,-0.853441674,,11.22,55.58134243
11.24,-0.865511769,,11.24,54.23096006
11.26,-0.877716794,,11.26,52.88119451
11.28,-0.890049825,,11.28,51.53201684
11.3,-0.902503803,,11.3,50.18339452
11.32,-0.915071552,,11.32,48.83529126
11.34,-0.927745795,,11.34,47.48766681
11.36,-0.940519175,,11.36,46.14047674
11.38,-0.953384274,,11.38,44.79367227
11.4,-0.966333636,,11.4,43.44720005
11.42,-0.979359788,,11.42,42.10100196
11.44,-0.992455266,,11.44,40.7550149
11.46,-1.005612636,,11.46,39.40917055
11.48,-1.018824521,,11.48,38.06339519
11.5,-1.032083629,,11.5,36.71760942
11.52,-1.045382782,,11.52,35.37172796
11.54,-1.058714941,,11.54,34.02565937
11.56,-1.072073242,,11.56,32.67930578
11.58,-1.085451026,,11.58,31.33256267
11.6,-1.098841872,,11.6,29.98531852
11.62,-1.112239634,,11.62,28.63745452
11.64,-1.125638479,,11.64,27.28884428
11.66,-1.139032926,,11.66,25.93935345
11.68,-1.15241789,,11.68,24.58883937
11.7,-1.165788721,,11.7,23.23715068
11.72,-1.179141258,,11.72,21.88412689
11.74,-1.192471878,,11.74,20.52959794
11.76,-1.205777548,,11.76,19.17338372
11.78,-1.219055885,,11.78,17.81529354
11.8,-1.232305217,,11.8,16.45512556
11.82,-1.245524655,,11.82,15.09266618
11.84,-1.258714163,,11.84,13.7276894
11.86,-1.271874636,,11.86,12.35995605
11.88,-1.285007994,,11.88,10.98921301
11.9,-1.298117272,,11.9,9.615192381
11.92,-1.311206726,,11.92,8.237610516
11.94,-1.324281952,,11.94,6.856166984
11.96,-1.337350011,,11.96,5.470543442
11.98,-1.350419573,,11.98,4.080402395
12,-1.363501072,,12,2.68538582
12.02,-1.37660689,,12.02,1.285113661
12.04,-1.389751547,,12.04,-0.120817832
12.06,-1.402951931,,12.06,-1.532837941
12.08,-1.416227542,,12.08,-2.951403508
12.1,-1.429600781,,12.1,-4.377001184
12.12,-1.443097269,,12.12,-5.810149912
12.14,-1.456746214,,12.14,-7.251403696
12.16,-1.470580827,,12.16,-8.701354665
12.18,-1.484638798,,12.18,-10.16063648
12.2,-1.498962846,,12.2,-11.62992816
12.22,-1.513601347,,12.22,-13.10995825
12.24,-1.528609057,,12.24,-14.60150963
12.26,-1.544047959,,12.26,-16.10542473
12.28,-1.559988235,,12.28,-17.62261144
12.3,-1.576509403,,12.3,-19.15404973
12.32,-1.593701647,,12.32,-20.70079897
12.34,-1.611667371,,12.34,-22.2640063
12.36,-1.630523029,,12.36,-23.84491578
12.38,-1.650401289,,12.38,-25.44487885
12.4,-1.671453583,,12.4,-27.06536593
12.42,-1.693853147,,12.42,-28.70797939
12.44,-1.717798644,,12.44,-30.37446814
12.46,-1.743518492,,12.46,-32.06674378
12.48,-1.77127607,,12.48,-33.78689865
12.5,-1.801375995,,12.5,-35.53722577
12.52,-1.834171712,,12.52,-37.32024073
12.54,-1.870074727,,12.54,-39.13870566
12.56,-1.909565864,,12.56,-40.99565489
12.58,-1.953209057,,12.58,-42.89442216
12.6,-2.001668317,,12.6,-44.83866859
12.62,-2.055728683,,12.62,-46.83241008
12.64,-2.116322199,,12.64,-48.88004229
12.66,-2.184560256,,12.66,-50.98635985
12.68,-2.261774,,12.68,-53.15656479
12.7,-2.349565012,,12.7,-55.39625641
12.72,-2.449869065,,12.72,-57.71139069
12.74,-2.565036583,,12.74,-60.10819125
12.76,-2.697934396,,12.76,-62.59298443
12.78,-2.852074657,,12.78,-65.17191753
12.8,-3.031778318,,12.8,-67.85049771
12.82,-3.242382351,,12.82,-70.6328576
12.84,-3.490502067,,12.84,-73.52060465
12.86,-3.784362151,,12.86,-76.51103515
12.88,-4.134212338,,12.88,-79.59437343
12.9,-4.552845262,,12.9,-82.74949754
12.92,-5.056233112,,12.92,-85.93726948
12.94,-5.664290259,,12.94,-89.08995962
12.96,-6.401730025,,12.96,-92.09403183
12.98,-7.298842145,,12.98,-94.76104908
13,-8.391512964,,13,-96.77619996
13.02,-9.71800839,,13.02,-97.60343836
13.04,-11.30361668,,13.04,-96.31135854
13.06,-13.10304234,,13.06,-91.31260132
13.08,-14.82774585,,13.08,-80.42837757
13.1,-15.72348755,,13.1,-63.27494543
13.12,-15.15871903,,13.12,-45.55084406
13.14,-13.64891351,,13.14,-33.59463168
13.16,-11.98719491,,13.16,-27.60599809
13.18,-10.50563542,,13.18,-25.44807165
13.2,-9.263885106,,13.2,-25.47703111
13.22,-8.240020618,,13.22,-26.73314679
13.24,-7.39694078,,13.24,-28.67572975
13.26,-6.70003432,,13.26,-30.99491782
13.28,-6.120696975,,13.28,-33.50893566
13.3,-5.636133983,,13.3,-36.10934447
13.32,-5.228365658,,13.32,-38.73104786
