Frequency,GD,GD(ns)
8.3,2.51E-10,0.250935626
8.32,2.48E-10,0.248280467
8.34,2.46E-10,0.245777768
8.36,2.43E-10,0.243424326
8.38,2.41E-10,0.241215045
8.4,2.39E-10,0.239143628
8.42,2.37E-10,0.237203072
8.44,2.35E-10,0.235386008
8.46,2.34E-10,0.233684949
8.48,2.32E-10,0.232092461
8.5,2.31E-10,0.230601275
8.52,2.29E-10,0.229204369
8.54,2.28E-10,0.227895015
8.56,2.27E-10,0.226666808
8.58,2.26E-10,0.225513684
8.6,2.24E-10,0.224429923
8.62,2.23E-10,0.223410145
8.64,2.22E-10,0.222449306
8.66,2.22E-10,0.221542685
8.68,2.21E-10,0.220685873
8.7,2.20E-10,0.219874759
8.72,2.19E-10,0.219105513
8.74,2.18E-10,0.218374576
8.76,2.18E-10,0.217678642
8.78,2.17E-10,0.217014643
8.8,2.16E-10,0.216379741
8.82,2.16E-10,0.215771308
8.84,2.15E-10,0.215186918
8.86,2.15E-10,0.214624334
8.88,2.14E-10,0.214081496
8.9,2.14E-10,0.213556511
8.92,2.13E-10,0.213047644
8.94,2.13E-10,0.212553307
8.96,2.12E-10,0.212072051
8.98,2.12E-10,0.211602555
9,2.11E-10,0.211143625
9.02,2.11E-10,0.210694176
9.04,2.10E-10,0.210253236
9.06,2.10E-10,0.20981993
9.08,2.09E-10,0.209393478
9.1,2.09E-10,0.20897319
9.12,2.09E-10,0.208558456
9.14,2.08E-10,0.208148745
9.16,2.08E-10,0.207743596
9.18,2.07E-10,0.207342616
9.2,2.07E-10,0.206945472
9.22,2.07E-10,0.20655189
9.24,2.06E-10,0.206161646
9.26,2.06E-10,0.205774569
9.28,2.05E-10,0.205390527
9.3,2.05E-10,0.205009433
9.32,2.05E-10,0.204631235
9.34,2.04E-10,0.204255915
9.36,2.04E-10,0.203883485
9.38,2.04E-10,0.203513984
9.4,2.03E-10,0.203147476
9.42,2.03E-10,0.202784045
9.44,2.02E-10,0.202423793
9.46,2.02E-10,0.202066839
9.48,2.02E-10,0.201713316
9.5,2.01E-10,0.201363365
9.52,2.01E-10,0.201017139
9.54,2.01E-10,0.200674798
9.56,2.00E-10,0.200336504
9.58,2.00E-10,0.200002426
9.6,2.00E-10,0.199672731
9.62,1.99E-10,0.199347588
9.64,1.99E-10,0.199027165
9.66,1.99E-10,0.198711627
9.68,1.98E-10,0.198401133
9.7,1.98E-10,0.19809584
9.72,1.98E-10,0.197795896
9.74,1.98E-10,0.197501445
9.76,1.97E-10,0.197212622
9.78,1.97E-10,0.196929553
9.8,1.97E-10,0.196652355
9.82,1.96E-10,0.196381136
9.84,1.96E-10,0.196115995
9.86,1.96E-10,0.195857017
9.88,1.96E-10,0.19560428
9.9,1.95E-10,0.195357849
9.92,1.95E-10,0.195117778
9.94,1.95E-10,0.194884111
9.96,1.95E-10,0.194656879
9.98,1.94E-10,0.194436101
10,1.94E-10,0.194327328
10,1.95E-10,0.19518862
10.02,1.95E-10,0.195069697
10.04,1.95E-10,0.194835794
10.06,1.95E-10,0.194609732
10.08,1.94E-10,0.1943914
10.1,1.94E-10,0.194180664
10.12,1.94E-10,0.19397737
10.14,1.94E-10,0.193781346
10.16,1.94E-10,0.193592399
10.18,1.93E-10,0.193410323
10.2,1.93E-10,0.193234892
10.22,1.93E-10,0.193065872
10.24,1.93E-10,0.192903013
10.26,1.93E-10,0.192746056
10.28,1.93E-10,0.192594731
10.3,1.92E-10,0.192448762
10.32,1.92E-10,0.192307864
10.34,1.92E-10,0.19217175
10.36,1.92E-10,0.192040126
10.38,1.92E-10,0.191912696
10.4,1.92E-10,0.191789165
10.42,1.92E-10,0.191669236
10.44,1.92E-10,0.191552613
10.46,1.91E-10,0.191439004
10.48,1.91E-10,0.191328119
10.5,1.91E-10,0.191219674
10.52,1.91E-10,0.191113393
10.54,1.91E-10,0.191009002
10.56,1.91E-10,0.190906242
10.58,1.91E-10,0.190804857
10.6,1.91E-10,0.190704608
10.62,1.91E-10,0.190605261
10.64,1.91E-10,0.190506601
10.66,1.90E-10,0.19040842
10.68,1.90E-10,0.190310531
10.7,1.90E-10,0.190212756
10.72,1.90E-10,0.190114938
10.74,1.90E-10,0.190016935
10.76,1.90E-10,0.189918622
10.78,1.90E-10,0.189819894
10.8,1.90E-10,0.189720665
10.82,1.90E-10,0.189620866
10.84,1.90E-10,0.189520452
10.86,1.89E-10,0.189419398
10.88,1.89E-10,0.189317699
10.9,1.89E-10,0.189215372
10.92,1.89E-10,0.189112459
10.94,1.89E-10,0.189009021
10.96,1.89E-10,0.188905145
10.98,1.89E-10,0.188800941
11,1.89E-10,0.188696541
11.02,1.89E-10,0.188592103
11.04,1.88E-10,0.188487807
11.06,1.88E-10,0.18838386
11.08,1.88E-10,0.188280492
11.1,1.88E-10,0.188177959
11.12,1.88E-10,0.188076539
11.14,1.88E-10,0.187976538
11.16,1.88E-10,0.187878287
11.18,1.88E-10,0.187782141
11.2,1.88E-10,0.187688481
11.22,1.88E-10,0.187597714
11.24,1.88E-10,0.187510272
11.26,1.87E-10,0.187426613
11.28,1.87E-10,0.187347222
11.3,1.87E-10,0.187272609
11.32,1.87E-10,0.187203313
11.34,1.87E-10,0.187139897
11.36,1.87E-10,0.187082954
11.38,1.87E-10,0.187033104
11.4,1.87E-10,0.186990994
11.42,1.87E-10,0.186957303
11.44,1.87E-10,0.186932737
11.46,1.87E-10,0.186918035
11.48,1.87E-10,0.186913967
11.5,1.87E-10,0.186921335
11.52,1.87E-10,0.186940976
11.54,1.87E-10,0.186973762
11.56,1.87E-10,0.187020604
11.58,1.87E-10,0.187082449
11.6,1.87E-10,0.187160288
11.62,1.87E-10,0.187255155
11.64,1.87E-10,0.18736813
11.66,1.88E-10,0.187500341
11.68,1.88E-10,0.18765297
11.7,1.88E-10,0.187827256
11.72,1.88E-10,0.188024496
11.74,1.88E-10,0.188246053
11.76,1.88E-10,0.188493361
11.78,1.89E-10,0.188767928
11.8,1.89E-10,0.189071344
11.82,1.89E-10,0.189405288
11.84,1.90E-10,0.189771537
11.86,1.90E-10,0.190171972
11.88,1.91E-10,0.190608588
