,l6=16mm,l6=17mm,l6=18mm
Frequency,mag,mag,mag
7.675,-1.961196504,-1.141631055,-6.452199811
7.7,-1.943556033,-1.131324805,-7.921278223
7.725,-1.925787628,-1.126111563,-9.731499592
7.75,-1.907950179,-1.12743768,-11.9985852
7.775,-1.890106968,-1.137156346,-14.91935181
7.8,-1.872326258,-1.157660127,-18.78212875
7.825,-1.854681995,-1.192061492,-23.02190262
7.85,-1.837254649,-1.244439816,-22.32902493
7.875,-1.820132228,-1.320180311,-18.51494216
7.9,-1.803411492,-1.426439505,-15.529261
7.925,-1.787199443,-1.572783186,-13.36125559
7.95,-1.771615127,-1.772055783,-11.72597837
7.975,-1.756791855,-2.041553495,-10.44525344
8,-1.742879934,-2.404586328,-9.412171948
8.025,-1.730050068,-2.89253167,-8.559445921
8.05,-1.718497589,-3.547535483,-7.842517585
8.075,-1.708447797,-4.426212495,-7.230583749
8.1,-1.700162714,-5.605309997,-6.701589963
8.125,-1.693949709,-7.191865793,-6.239288248
8.15,-1.690172606,-9.34311942,-5.831423737
8.175,-1.689266118,-12.2959294,-5.468570343
8.2,-1.691754769,-16.24198029,-5.143356555
8.225,-1.698277988,-19.21203258,-4.849935054
8.25,-1.70962372,-16.72398089,-4.583609958
8.275,-1.726774018,-13.2804238,-4.340569018
8.3,-1.750967664,-10.76022924,-4.117687486
8.325,-1.783787389,-8.947183746,-3.912382049
8.35,-1.827283174,-7.599462988,-3.722500425
8.375,-1.884149381,-6.5660327,-3.546236807
8.4,-1.957983657,-5.753006831,-3.382066327
8.425,-2.053672457,-5.099624268,-3.228693729
8.45,-2.177976632,-4.564987867,-3.085012759
8.475,-2.340439948,-4.120654555,-2.950073772
8.5,-2.554830287,-3.746303406,-2.823057657
8.525,-2.841479174,-3.427086725,-2.703254712
8.55,-3.23116852,-3.151946376,-2.590047389
8.575,-3.771731675,-2.912508527,-2.482896129
8.6,-4.539467497,-2.702338232,-2.381327646
8.625,-5.658949999,-2.516425062,-2.284925192
8.65,-7.335211118,-2.350821081,-2.193320423
8.675,-9.876183232,-2.202381606,-2.106186568
8.7,-13.29374304,-2.068576674,-2.023232673
8.725,-14.17527951,-1.947352023,-1.944198716
8.75,-10.68844985,-1.837025283,-1.868851463
8.775,-7.561958573,-1.73620756,-1.796980927
8.8,-5.470840799,-1.643743563,-1.728397338
8.825,-4.091844437,-1.558665449,-1.662928538
8.85,-3.165155957,-1.480156903,-1.600417744
8.875,-2.526581017,-1.407524954,-1.540721613
8.9,-2.074722588,-1.340177689,-1.48370857
8.925,-1.746553272,-1.277606483,-1.429257361
8.95,-1.502278558,-1.219371756,-1.377255796
8.975,-1.316270317,-1.165091457,-1.327599662
9,-1.171664585,-1.114431722,-1.280191771
9.025,-1.057120222,-1.067099234,-1.234941139
9.05,-0.964847162,-1.022834951,-1.191762273
9.075,-0.889385942,-0.981408931,-1.150574544
9.1,-0.826837688,-0.942616042,-1.111301653
9.125,-0.774368739,-0.90627239,-1.07387116
9.15,-0.729885771,-0.872212339,-1.038214081
9.175,-0.691818762,-0.840286003,-1.004264537
9.2,-0.658973431,-0.810357149,-0.971959451
9.225,-0.630429251,-0.782301417,-0.941238293
9.25,-0.605467843,-0.75600482,-0.912042855
9.275,-0.583521994,-0.731362472,-0.884317062
9.3,-0.564138853,-0.708277506,-0.858006814
9.325,-0.546953027,-0.686660154,-0.833059846
9.35,-0.531666702,-0.666426964,-0.809425616
9.375,-0.518034771,-0.647500129,-0.787055211
9.4,-0.505853618,-0.629806917,-0.765901266
9.425,-0.494952571,-0.613279182,-0.745917899
9.45,-0.485187328,-0.597852945,-0.72706066
9.475,-0.476434874,-0.583468038,-0.709286487
9.5,-0.468589507,-0.570067792,-0.692553672
9.525,-0.461559719,-0.557598784,-0.676821834
9.55,-0.455265733,-0.546010602,-0.662051898
9.575,-0.449637541,-0.535255661,-0.648206076
9.6,-0.444613337,-0.525289032,-0.635247861
9.625,-0.440138257,-0.516068305,-0.623142009
9.65,-0.436163367,-0.507553465,-0.611854536
9.675,-0.432644838,-0.499706793,-0.60135271
9.7,-0.429543278,-0.492492771,-0.591605045
9.725,-0.426823185,-0.485878011,-0.582581295
9.75,-0.424452503,-0.479831189,-0.574252448
9.775,-0.422402252,-0.474322987,-0.566590721
9.8,-0.420646229,-0.469326046,-0.559569551
9.825,-0.419160758,-0.464814923,-0.553163585
9.85,-0.417924484,-0.460766057,-0.547348673
9.875,-0.416918201,-0.457157731,-0.542101854
9.9,-0.416124711,-0.453970052,-0.537401341
9.925,-0.415528703,-0.451184916,-0.533226509
9.95,-0.415116657,-0.448785992,-0.529557877
9.975,-0.414876755,-0.446758697,-0.526377085
10,-0.414798814,-0.445090175,-0.523666877
10,-0.412495794,-0.446293179,-0.517606968
10.025,-0.412770708,-0.444848659,-0.515299557
10.05,-0.4131593,-0.443722879,-0.513455561
10.075,-0.413653668,-0.442902035,-0.512061173
10.1,-0.414247201,-0.44237373,-0.511104008
10.125,-0.414934515,-0.442126909,-0.510573029
10.15,-0.415711383,-0.442151798,-0.510458487
10.175,-0.416574668,-0.442439839,-0.51075184
10.2,-0.417522262,-0.442983619,-0.511445682
10.225,-0.418553014,-0.443776803,-0.512533669
10.25,-0.419666668,-0.444814067,-0.514010436
10.275,-0.420863797,-0.44609102,-0.515871522
10.3,-0.422145739,-0.447604143,-0.518113291
10.325,-0.42351453,-0.449350707,-0.520732852
10.35,-0.424972846,-0.45132871,-0.523727976
10.375,-0.426523939,-0.453536801,-0.527097022
10.4,-0.428171572,-0.455974209,-0.530838853
10.425,-0.429919963,-0.458640675,-0.534952761
10.45,-0.431773724,-0.461536378,-0.539438387
10.475,-0.4337378,-0.464661869,-0.544295647
10.5,-0.435817415,-0.468018003,-0.549524658
10.525,-0.438018016,-0.471605869,-0.555125661
10.55,-0.440345215,-0.475426727,-0.561098957
10.575,-0.442804739,-0.479481945,-0.567444831
10.6,-0.445402374,-0.483772934,-0.574163494
10.625,-0.448143917,-0.488301089,-0.581255012
10.65,-0.451035129,-0.493067731,-0.588719253
10.675,-0.454081681,-0.498074052,-0.596555824
10.7,-0.457289115,-0.503321059,-0.604764019
10.725,-0.460662797,-0.508809525,-0.613342771
10.75,-0.464207876,-0.514539938,-0.622290602
10.775,-0.467929242,-0.520512458,-0.631605582
10.8,-0.47183149,-0.526726874,-0.641285291
10.825,-0.475918886,-0.533182562,-0.65132678
10.85,-0.480195329,-0.539878449,-0.661726547
10.875,-0.484664322,-0.546812982,-0.672480503
10.9,-0.489328943,-0.553984094,-0.683583958
10.925,-0.49419182,-0.561389181,-0.695031598
10.95,-0.499255104,-0.569025075,-0.706817474
10.975,-0.504520449,-0.576888026,-0.718934995
11,-0.509988993,-0.584973685,-0.73137692
11.025,-0.515661341,-0.593277094,-0.744135365
11.05,-0.521537552,-0.601792669,-0.7572018
11.075,-0.52761713,-0.610514202,-0.770567069
11.1,-0.533899011,-0.619434856,-0.784221394
11.125,-0.54038156,-0.628547163,-0.798154399
11.15,-0.547062568,-0.637843031,-0.812355135
11.175,-0.553939253,-0.647313752,-0.826812101
11.2,-0.56100826,-0.656950012,-0.841513281
11.225,-0.568265666,-0.666741904,-0.856446175
11.25,-0.57570699,-0.676678946,-0.871597845
11.275,-0.5833272,-0.686750103,-0.88695495
11.3,-0.591120731,-0.696943804,-0.902503803
11.325,-0.599081492,-0.707247975,-0.918230415
11.35,-0.607202889,-0.717650059,-0.934120555
11.375,-0.615477846,-0.728137053,-0.950159808
11.4,-0.623898821,-0.738695538,-0.966333636
11.425,-0.632457835,-0.749311711,-0.98262745
11.45,-0.641146496,-0.759971427,-0.999026677
11.475,-0.649956025,-0.770660232,-1.015516839
11.5,-0.658877292,-0.781363407,-1.032083629
11.525,-0.66790084,-0.792066008,-1.048712999
11.55,-0.677016921,-0.802752908,-1.065391245
11.575,-0.686215531,-0.813408842,-1.082105109
11.6,-0.695486446,-0.824018453,-1.098841872
11.625,-0.704819256,-0.834566336,-1.115589464
11.65,-0.714203409,-0.845037084,-1.13233658
11.675,-0.723628242,-0.855415341,-1.1490728
11.7,-0.733083029,-0.865685842,-1.165788721
11.725,-0.742557016,-0.875833466,-1.182476097
11.75,-0.752039467,-0.885843284,-1.199127997
11.775,-0.761519703,-0.895700608,-1.215738967
11.8,-0.770987145,-0.905391038,-1.232305217
11.825,-0.780431361,-0.914900514,-1.24882482
11.85,-0.789842101,-0.924215363,-1.265297934
11.875,-0.799209352,-0.933322346,-1.281727051
11.9,-0.80852337,-0.942208711,-1.298117272
11.925,-0.817774733,-0.95086224,-1.314476617
11.95,-0.82695438,-0.959271296,-1.330816375
11.975,-0.836053656,-0.967424871,-1.347151503
12,-0.845064354,-0.975312637,-1.363501072
12.025,-0.853978761,-0.982924991,-1.379888796
12.05,-0.8627897,-0.990253102,-1.396343619
12.075,-0.871490572,-0.997288962,-1.412900414
12.1,-0.880075397,-1.004025428,-1.429600781
12.125,-0.888538858,-1.010456275,-1.446493987
12.15,-0.896876344,-1.016576236,-1.463638068
12.175,-0.905083983,-1.022381058,-1.481101121
12.2,-0.913158692,-1.027867539,-1.498962846
12.225,-0.921098209,-1.033033585,-1.51731637
12.25,-0.928901134,-1.037878253,-1.536270427
12.275,-0.936566966,-1.042401801,-1.555951985
12.3,-0.94409614,-1.046605738,-1.576509403
12.325,-0.951490066,-1.050492874,-1.598116271
12.35,-0.958751156,-1.054067376,-1.620976074
12.375,-0.965882867,-1.05733482,-1.645327921
12.4,-0.972889725,-1.060302252,-1.671453583
12.425,-0.979777362,-1.062978245,-1.699686213
12.45,-0.986552543,-1.065372969,-1.7304212
12.475,-0.993223195,-1.067498263,-1.76412975
12.5,-0.999798433,-1.069367708,-1.801375995
12.525,-1.006288586,-1.070996724,-1.842838655
12.55,-1.012705219,-1.072402661,-1.889338664
12.575,-1.019061155,-1.073604914,-1.941874582
12.6,-1.025370494,-1.074625054,-2.001668317
12.625,-1.031648632,-1.075486982,-2.07022451
12.65,-1.037912269,-1.076217102,-2.149408151
12.675,-1.04417943,-1.07684454,-2.241546675
12.7,-1.050469469,-1.077401401,-2.349565012
12.725,-1.05680308,-1.077923077,-2.47716522
12.75,-1.063202295,-1.078448629,-2.629066544
12.775,-1.069690493,-1.079021259,-2.811327406
12.8,-1.076292396,-1.079688886,-3.031778318
12.825,-1.083034061,-1.080504872,-3.300604283
12.85,-1.089942879,-1.081528933,-3.631126942
12.875,-1.097047561,-1.08282828,-4.040850118
12.9,-1.104378125,-1.084479078,-4.552845262
12.925,-1.111965883,-1.086568308,-5.197558065
12.95,-1.119843418,-1.089196151,-6.015081779
12.975,-1.128044569,-1.09247909,-7.057717704
13,-1.136604406,-1.096553931,-8.391512964
13.025,-1.145559205,-1.101583102,-10.08991889
13.05,-1.154946427,-1.107761639,-12.18572047
13.075,-1.16480469,-1.115326523,-14.43684186
13.1,-1.175173746,-1.124569225,-15.72348755
13.125,-1.186094462,-1.135852763,-14.83232708
13.15,-1.197608799,-1.149635093,-12.806473
13.175,-1.2097598,-1.166501581,-10.85360301
13.2,-1.222591585,-1.187210573,-9.263885106
13.225,-1.236149352,-1.212758199,-8.013746911
13.25,-1.250479397,-1.24447172,-7.032149455
13.275,-1.265629144,-1.284145947,-6.255846341
13.3,-1.281647195,-1.334245518,-5.636133983
13.325,-1.298583412,-1.398209402,-5.13669099
13.35,-1.316489022,-1.480916178,-4.73052857
13.375,-1.335416764,-1.589405031,-4.397488691
13.4,-1.355421082,-1.734006002,-4.122392278
13.425,-1.376558376,-1.930123439,-3.893704688
13.45,-1.398887326,-2.201040161,-3.702578206
13.475,-1.422469293,-2.582222229,-3.542162694
13.5,-1.44736884,-3.127484815,-3.4071061
13.525,-1.473654371,-3.916218265,-3.293189732
13.55,-1.50139894,-5.055936885,-3.197059742
13.575,-1.530681256,-6.656083673,-3.116027774
13.6,-1.561586939,-8.683224398,-3.047921703
13.625,-1.594210096,-10.48908963,-2.990972953
13.65,-1.628655281,-10.68488829,-2.943730727
13.675,-1.665039979,-9.355766655,-2.904996209
13.7,-1.70349773,-7.804533437,-2.873771691
13.725,-1.744182098,-6.553368202,-2.849220962
13.75,-1.787271746,-5.62642116,-2.830638232
13.775,-1.832976969,-4.948884065,-2.817423597
13.8,-1.881548184,-4.450265814,-2.809063547
13.825,-1.933287044,-4.078880851,-2.805115378
13.85,-1.988561182,-3.798922396,-2.805194663
