Frequency,ADS,,,HFSS,,,Theory,
3080000000,1.49E-10,0.14898286,,1.84E-10,0.183581021,,8.78E-09,0.087764836
3100000000,1.48E-10,0.148020555,,1.81E-10,0.180739454,,8.73E-09,0.087283509
3120000000,1.47E-10,0.147232864,,1.78E-10,0.178215446,,8.69E-09,0.086900649
3140000000,1.47E-10,0.146600471,,1.76E-10,0.175974,,8.66E-09,0.08660521
3160000000,1.46E-10,0.146107016,,1.74E-10,0.173984943,,8.64E-09,0.086387861
3180000000,1.46E-10,0.145738585,,1.72E-10,0.172222175,,8.62E-09,0.086240684
3200000000,1.45E-10,0.145483297,,1.71E-10,0.170663048,,8.62E-09,0.086156931
3220000000,1.45E-10,0.145330969,,1.69E-10,0.169287843,,8.61E-09,0.086130831
3240000000,1.45E-10,0.145272841,,1.68E-10,0.16807934,,8.62E-09,0.086157426
3260000000,1.45E-10,0.145301353,,1.67E-10,0.167022455,,8.62E-09,0.086232439
3280000000,1.45E-10,0.145409957,,1.66E-10,0.166103935,,8.64E-09,0.086352172
3300000000,1.46E-10,0.145592968,,1.65E-10,0.165312103,,8.65E-09,0.086513411
3320000000,1.46E-10,0.145845431,,1.65E-10,0.164636643,,8.67E-09,0.086713354
3340000000,1.46E-10,0.146163015,,1.64E-10,0.164068415,,8.69E-09,0.086949549
3360000000,1.47E-10,0.146541928,,1.64E-10,0.163599298,,8.72E-09,0.087219845
3380000000,1.47E-10,0.146978833,,1.63E-10,0.16322206,,8.75E-09,0.087522342
3400000000,1.47E-10,0.147470792,,1.63E-10,0.162930242,,8.79E-09,0.087855361
3420000000,1.48E-10,0.148015204,,1.63E-10,0.162718061,,8.82E-09,0.088217406
3440000000,1.49E-10,0.148609761,,1.63E-10,0.162580325,,8.86E-09,0.088607142
3460000000,1.49E-10,0.149252408,,1.63E-10,0.162512362,,8.90E-09,0.089023368
3480000000,1.50E-10,0.149941307,,1.63E-10,0.162509954,,8.95E-09,0.089464999
3500000000,1.51E-10,0.150674804,,1.63E-10,0.162569285,,8.99E-09,0.089931048
3520000000,1.51E-10,0.151451407,,1.63E-10,0.162686889,,9.04E-09,0.09042061
3540000000,1.52E-10,0.152269757,,1.63E-10,0.162859614,,9.09E-09,0.090932848
3560000000,1.53E-10,0.153128611,,1.63E-10,0.163084579,,9.15E-09,0.091466981
3580000000,1.54E-10,0.15402682,,1.63E-10,0.163359146,,9.20E-09,0.092022275
3600000000,1.55E-10,0.154963313,,1.64E-10,0.163680889,,9.26E-09,0.09259803
3620000000,1.56E-10,0.155937084,,1.64E-10,0.164047567,,9.32E-09,0.093193575
3640000000,1.57E-10,0.156947174,,1.64E-10,0.164457107,,9.38E-09,0.093808256
3660000000,1.58E-10,0.15799266,,1.65E-10,0.164907576,,9.44E-09,0.094441431
3680000000,1.59E-10,0.159072643,,1.65E-10,0.165397168,,9.51E-09,0.095092462
3700000000,1.60E-10,0.160186237,,1.66E-10,0.165924188,,9.58E-09,0.09576071
3720000000,1.61E-10,0.161332558,,1.66E-10,0.166487032,,9.64E-09,0.096445529
3740000000,1.63E-10,0.162510711,,1.67E-10,0.167084181,,9.71E-09,0.097146256
3760000000,1.64E-10,0.163719787,,1.68E-10,0.167714181,,9.79E-09,0.097862213
3780000000,1.65E-10,0.164958848,,1.68E-10,0.168375638,,9.86E-09,0.098592698
3800000000,1.66E-10,0.166226922,,1.69E-10,0.169067206,,9.93E-09,0.099336978
3820000000,1.68E-10,0.167522991,,1.70E-10,0.169787575,,1.00E-08,0.100094291
3840000000,1.69E-10,0.168845985,,1.71E-10,0.170535468,,1.01E-08,0.100863835
3860000000,1.70E-10,0.170194777,,1.71E-10,0.171309626,,1.02E-08,0.10164477
3880000000,1.72E-10,0.171568168,,1.72E-10,0.172108808,,1.02E-08,0.102436211
3900000000,1.73E-10,0.172964887,,1.73E-10,0.172931779,,1.03E-08,0.103237224
3920000000,1.74E-10,0.17438358,,1.74E-10,0.173777305,,1.04E-08,0.104046828
3940000000,1.76E-10,0.175822806,,1.75E-10,0.174644149,,1.05E-08,0.104863985
3960000000,1.77E-10,0.177281028,,1.76E-10,0.175531065,,1.06E-08,0.105687604
3980000000,1.79E-10,0.178756609,,1.76E-10,0.176436791,,1.07E-08,0.106516536
4000000000,1.80E-10,0.180247806,,1.77E-10,0.177360048,,1.07E-08,0.107349575
4020000000,1.82E-10,0.181752765,,1.78E-10,0.178299532,,1.08E-08,0.108185453
4040000000,1.83E-10,0.183269517,,1.79E-10,0.179253915,,1.09E-08,0.109022843
4060000000,1.85E-10,0.184795977,,1.80E-10,0.180221838,,1.10E-08,0.109860357
4080000000,1.86E-10,0.186329935,,1.81E-10,0.181201909,,1.11E-08,0.110696549
4100000000,1.88E-10,0.187869061,,1.82E-10,0.182192702,,1.12E-08,0.111529913
4120000000,1.89E-10,0.189410899,,1.83E-10,0.183192753,,1.12E-08,0.112358887
